date_de_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
20071027,25,28,8,42,37,31
20071024,36,38,29,21,3,25
20071024,27,33,6,36,17,10
20071020,31,6,48,15,4,29
20071020,5,39,37,34,9,2
20071017,2,47,28,40,13,49
20071017,45,38,14,19,9,17
20071013,25,23,11,49,3,9
20071013,30,47,39,11,40,44
20071010,21,25,2,4,46,8
20071010,15,24,34,42,40,26
20071006,38,8,5,39,1,33
20071006,31,36,28,40,14,17
20071003,42,18,40,30,21,44
20071003,2,6,30,5,15,19
20070929,23,25,30,6,24,21
20070929,1,34,29,49,33,42
20070926,18,4,5,11,48,27
20070926,8,16,31,10,34,48
20070922,38,1,25,49,2,9
20070922,24,36,27,31,8,21
20070919,10,8,41,39,46,21
20070919,8,10,28,20,33,38
20070915,18,15,23,25,41,27
20070915,47,21,30,10,28,12
20070912,7,41,21,39,2,3
20070912,45,49,23,48,6,11
20070908,4,5,19,1,17,48
20070908,26,40,28,12,43,5
20070905,38,10,5,12,35,28
20070905,31,12,43,49,18,13
20070901,46,37,16,48,9,20
20070901,45,27,39,31,18,34
20070829,17,3,14,36,11,44
20070829,39,14,32,19,20,5
20070825,44,37,45,16,3,18
20070825,22,13,12,19,8,5
20070822,7,14,34,40,36,24
20070822,14,13,48,29,30,37
20070818,39,35,13,48,8,1
20070818,29,31,30,17,10,43
20070815,7,32,38,30,36,8
20070815,9,32,44,8,33,3
20070811,18,35,36,38,13,2
20070811,12,25,46,23,38,9
20070808,47,13,35,41,19,43
20070808,21,13,46,45,32,11
20070804,8,34,32,36,46,29
20070804,32,20,26,40,49,3
20070801,41,24,29,6,33,25
20070801,24,2,41,38,42,27
20070728,39,20,48,8,33,15
20070728,22,40,36,3,20,37
20070725,8,30,33,47,6,32
20070725,21,31,6,12,17,5
20070721,3,22,15,4,33,36
20070721,31,27,13,29,34,35
20070718,12,14,38,17,28,40
20070718,21,6,31,1,13,22
20070714,23,26,16,25,33,48
20070714,10,39,4,20,24,43
20070711,23,46,15,2,20,37
20070711,35,2,23,21,3,16
20070707,17,4,24,21,27,30
20070707,36,14,22,2,35,48
20070704,8,24,38,20,34,46
20070704,45,44,36,33,20,27
20070630,6,28,33,29,43,45
20070630,35,29,11,9,24,48
20070627,8,37,34,20,39,26
20070627,42,6,29,13,12,45
20070623,47,15,37,5,11,7
20070623,43,13,28,7,45,39
20070620,12,33,45,14,15,43
20070620,14,10,2,42,5,41
20070616,20,40,38,31,37,47
20070616,32,40,26,12,3,31
20070613,15,40,3,41,34,39
20070613,8,3,13,40,22,38
20070609,17,3,10,46,35,28
20070609,28,4,26,22,35,5
20070606,31,9,33,29,46,47
20070606,35,41,16,22,47,28
20070602,14,27,49,24,47,33
20070602,17,15,27,48,28,2
20070530,25,39,49,23,11,13
20070530,9,32,10,22,15,27
20070526,30,43,6,34,46,37
20070526,2,29,16,22,21,20
20070523,36,27,1,5,8,29
20070523,47,3,15,40,7,18
20070519,10,46,34,21,35,27
20070519,9,2,48,43,41,5
20070516,22,49,19,4,41,16
20070516,8,32,47,36,30,4
20070512,26,3,39,38,2,13
20070512,35,12,39,31,26,34
20070509,8,27,36,12,49,9
20070509,3,16,21,22,35,7
20070505,21,4,20,1,48,39
20070505,27,2,40,3,36,4
20070502,6,15,48,19,32,10
20070502,1,15,3,31,19,23
20070428,13,47,4,26,23,30
20070428,42,25,37,28,46,12
20070425,14,19,2,3,40,37
20070425,8,16,27,29,18,41
20070421,10,25,48,3,33,32
20070421,41,49,10,44,15,18
20070418,39,38,44,9,11,1
20070418,26,12,5,21,8,24
20070414,36,2,26,7,17,4
20070414,49,23,44,36,7,45
20070411,44,8,33,36,34,7
20070411,37,28,20,7,47,19
20070407,42,20,28,10,24,36
20070407,46,39,17,13,9,45
20070404,20,33,5,35,26,17
20070404,26,7,41,44,5,30
20070331,16,4,30,11,24,22
20070331,17,46,36,3,21,22
20070328,36,25,18,19,21,2
20070328,34,39,46,19,44,9
20070324,34,17,45,36,42,22
20070324,15,3,10,30,17,5
20070321,9,39,38,48,12,1
20070321,23,46,15,34,20,19
20070317,6,48,41,10,34,31
20070317,32,44,48,9,27,10
20070314,31,29,33,35,12,45
20070314,2,17,8,27,26,4
20070310,10,46,12,21,8,15
20070310,10,42,24,28,15,12
20070307,14,8,35,33,38,45
20070307,36,35,14,49,38,18
20070303,36,10,4,9,19,8
20070303,27,37,42,26,38,35
20070228,18,12,49,20,25,30
20070228,11,6,24,36,25,12
20070224,23,34,13,38,30,17
20070224,23,27,14,36,35,47
20070221,16,41,24,5,26,4
20070221,17,4,26,46,23,49
20070217,10,46,35,9,40,12
20070217,2,22,29,21,3,17
20070214,38,1,15,26,28,16
20070214,19,43,4,30,42,18
20070210,46,2,29,10,20,13
20070210,11,15,8,41,49,26
20070207,34,40,37,5,30,16
20070207,27,32,24,13,44,6
20070203,10,11,44,40,45,20
20070203,31,33,44,34,46,10
20070131,31,47,10,42,26,21
20070131,27,20,12,5,43,1
20070127,38,19,30,24,42,46
20070127,47,29,11,44,42,43
20070124,21,42,49,26,13,28
20070124,40,5,37,13,32,4
20070120,19,49,43,47,42,5
20070120,19,46,16,11,10,2
20070117,39,43,22,30,6,26
20070117,26,44,25,33,12,1
20070113,6,20,5,17,39,30
20070113,16,47,35,21,22,8
20070110,42,45,34,7,24,36
20070110,38,49,37,36,32,44
20070106,7,1,38,34,27,37
20070106,20,4,21,48,40,41
20070103,39,33,49,1,45,31
20070103,46,20,29,41,49,11
20061230,23,1,36,32,28,30
20061230,26,6,23,20,33,21
20061227,26,20,17,7,47,10
20061227,14,46,3,35,2,48
20061223,39,11,3,8,6,13
20061223,48,2,37,36,33,3
20061220,29,49,9,44,25,20
20061220,5,24,45,32,20,44
20061216,10,17,32,48,37,38
20061216,48,20,10,13,43,24
20061213,39,29,31,6,10,3
20061213,42,49,32,4,37,29
20061209,39,20,30,12,33,32
20061209,40,30,15,47,5,46
20061206,15,41,8,40,36,44
20061206,31,44,35,19,9,48
20061202,4,35,17,14,20,7
20061202,19,16,22,29,30,43
20061129,5,7,10,36,49,21
20061129,21,46,23,44,10,36
20061125,17,14,43,5,31,44
20061125,4,39,21,2,13,14
20061122,25,28,24,27,45,13
20061122,33,8,45,34,41,14
20061118,26,27,2,38,16,13
20061118,43,22,17,32,1,34
20061115,19,44,22,48,8,30
20061115,37,25,16,17,45,32
20061111,17,47,10,25,13,34
20061111,24,9,11,26,2,16
20061108,38,43,2,36,25,7
20061108,1,48,28,12,11,10
20061104,27,4,48,46,23,7
20061104,7,14,25,43,39,34
20061101,42,47,3,30,15,5
20061101,6,36,16,21,33,43
20061028,33,25,30,40,10,15
20061028,13,25,10,18,20,44
20061025,45,39,18,38,16,35
20061025,12,38,18,27,43,5
20061021,2,18,40,14,27,49
20061021,9,16,26,3,40,12
20061018,44,8,32,41,43,35
20061018,37,10,21,17,22,1
20061014,33,8,18,3,30,17
20061014,26,3,35,14,46,22
20061011,31,6,7,45,15,23
20061011,7,45,37,20,16,44
20061007,2,48,26,7,4,38
20061007,2,5,38,32,21,48
20061004,33,34,48,8,14,11
20061004,11,47,3,28,14,21
20060930,17,30,24,5,35,14
20060930,2,35,8,49,44,13
20060927,46,4,36,25,31,22
20060927,26,33,9,8,23,3
20060923,31,23,29,40,15,5
20060923,22,48,44,25,47,23
20060920,30,4,8,15,49,34
20060920,30,29,11,21,44,47
20060916,40,32,17,15,34,20
20060916,18,12,31,26,37,44
20060913,11,49,15,4,41,17
20060913,5,44,8,31,22,7
20060909,49,20,13,46,4,29
20060909,26,15,39,12,48,31
20060906,45,47,15,12,22,20
20060906,23,10,22,28,5,19
20060902,2,27,49,25,3,24
20060902,11,4,21,49,34,24
20060830,3,24,6,36,2,22
20060830,27,43,35,13,11,48
20060826,34,41,9,44,48,30
20060826,11,30,45,36,25,10
20060823,28,25,33,11,12,45
20060823,21,46,10,38,36,2
20060819,13,22,42,11,40,4
20060819,15,22,32,49,41,21
20060816,46,26,8,23,38,34
20060816,30,3,15,33,13,11
20060812,4,20,27,16,9,6
20060812,43,4,14,26,16,20
20060809,31,12,7,24,43,44
20060809,19,49,27,3,39,20
20060805,36,46,32,41,43,4
20060805,2,30,37,22,14,42
20060802,43,46,30,36,13,39
20060802,49,9,41,24,36,19
20060729,39,1,26,27,21,38
20060729,15,34,35,4,44,21
20060726,15,33,34,30,42,48
20060726,3,20,45,8,27,32
20060722,44,43,13,18,45,35
20060722,40,21,28,41,27,33
20060719,31,14,35,24,44,21
20060719,32,23,12,16,36,33
20060715,16,49,22,27,19,17
20060715,35,37,16,33,14,22
20060712,15,10,26,41,34,13
20060712,1,31,22,7,21,3
20060708,35,44,38,43,6,41
20060708,18,39,4,15,1,33
20060705,37,39,28,5,46,32
20060705,25,19,33,2,17,39
20060701,38,44,2,29,7,23
20060701,3,17,47,4,44,7
20060628,8,43,20,19,1,38
20060628,43,22,5,2,19,7
20060624,13,8,32,3,36,38
20060624,34,10,3,15,5,30
20060621,16,11,23,3,8,24
20060621,17,10,44,5,42,36
20060617,46,18,12,40,21,32
20060617,38,41,13,9,10,14
20060614,45,17,9,36,10,24
20060614,42,20,30,28,41,49
20060610,28,24,35,19,44,11
20060610,10,29,25,35,1,45
20060607,8,10,4,26,9,24
20060607,34,9,14,30,25,21
20060603,48,1,47,36,2,32
20060603,39,10,36,41,16,47
20060531,23,31,11,44,5,14
20060531,16,25,1,3,7,8
20060527,1,25,14,38,24,6
20060527,5,31,28,16,35,20
20060524,26,1,15,47,23,33
20060524,7,4,12,25,20,31
20060520,32,8,7,26,19,29
20060520,30,40,32,46,44,47
20060517,31,21,37,29,15,49
20060517,44,13,30,24,11,35
20060513,17,47,34,35,16,26
20060513,41,14,10,47,16,18
20060510,4,37,38,48,41,29
20060510,38,22,4,47,30,42
20060506,17,1,46,5,25,28
20060506,34,18,48,38,46,26
20060503,3,4,13,15,11,8
20060503,30,8,37,9,24,29
20060429,42,35,43,21,18,33
20060429,36,22,41,9,35,2
20060426,30,29,23,45,11,49
20060426,16,2,48,27,36,45
20060422,23,5,17,30,28,46
20060422,32,30,39,10,11,8
20060419,11,20,28,9,35,42
20060419,48,20,36,11,37,9
20060415,48,27,13,18,31,46
20060415,24,9,34,26,40,16
20060412,20,31,6,4,39,29
20060412,45,11,18,47,26,46
20060408,3,41,29,13,44,36
20060408,42,41,39,13,21,46
20060405,8,15,48,40,30,2
20060405,10,46,30,29,44,12
20060401,28,21,24,40,30,7
20060401,49,12,6,46,5,32
20060329,43,45,12,29,46,8
20060329,5,20,33,9,13,6
20060325,26,17,32,33,44,27
20060325,29,45,10,15,16,18
20060322,18,4,47,35,9,31
20060322,28,49,14,36,12,21
20060318,8,19,27,47,31,5
20060318,25,19,32,30,21,39
20060315,21,40,48,15,18,25
20060315,41,25,34,30,45,19
20060311,13,6,43,18,27,11
20060311,4,21,44,6,43,19
20060308,3,31,15,9,34,30
20060308,15,49,1,8,23,30
20060304,4,18,1,14,23,7
20060304,15,13,28,5,14,6
20060301,45,32,34,26,31,4
20060301,32,34,49,46,19,39
20060225,22,41,25,33,38,34
20060225,43,6,1,14,15,5
20060222,34,36,46,39,10,11
20060222,14,30,5,45,22,3
20060218,39,5,15,3,34,37
20060218,47,36,4,39,24,1
20060215,1,44,18,30,39,4
20060215,42,35,20,28,4,24
20060211,35,27,43,3,30,46
20060211,47,48,11,37,33,23
20060208,2,36,16,17,24,7
20060208,41,49,16,43,35,36
20060204,47,44,30,23,2,31
20060204,39,22,43,2,26,38
20060201,11,29,44,14,21,31
20060201,30,45,28,49,6,22
20060128,4,33,40,5,10,18
20060128,9,3,11,35,13,39
20060125,36,24,16,10,23,11
20060125,33,42,49,45,3,24
20060121,38,47,44,48,3,29
20060121,42,15,20,48,46,19
20060118,45,37,32,9,40,35
20060118,28,38,19,36,1,34
20060114,40,24,39,12,36,41
20060114,42,47,36,45,34,33
20060111,7,2,26,24,32,23
20060111,27,31,28,38,16,48
