date_de_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
30/03/2024,40,41,28,8,42,2
27/03/2024,28,45,2,15,23,7
25/03/2024,37,1,22,26,31,5
23/03/2024,47,49,20,34,32,1
20/03/2024,24,46,3,22,32,5
18/03/2024,36,48,30,20,40,8
16/03/2024,12,10,37,25,49,2
13/03/2024,5,29,4,10,13,1
11/03/2024,18,48,36,16,45,10
09/03/2024,29,28,25,7,35,2
06/03/2024,12,8,43,46,49,8
04/03/2024,25,8,18,27,37,8
02/03/2024,20,13,27,26,17,4
28/02/2024,2,38,46,27,43,3
26/02/2024,7,45,30,8,20,10
24/02/2024,14,45,37,22,25,3
21/02/2024,42,22,9,33,45,3
19/02/2024,35,23,16,42,8,2
17/02/2024,2,19,13,23,36,3
14/02/2024,28,15,3,46,36,2
12/02/2024,36,40,5,30,43,1
10/02/2024,44,15,37,34,40,8
07/02/2024,24,13,23,6,34,4
05/02/2024,36,3,33,34,42,2
03/02/2024,42,4,23,15,12,1
31/01/2024,34,2,13,15,31,8
29/01/2024,27,26,8,9,15,4
27/01/2024,47,2,14,33,30,5
24/01/2024,25,9,34,31,32,5
22/01/2024,32,29,37,20,5,9
20/01/2024,19,41,42,43,45,2
17/01/2024,29,8,37,22,39,10
15/01/2024,11,7,15,23,19,4
13/01/2024,12,15,21,29,48,6
10/01/2024,12,28,32,45,38,9
08/01/2024,6,48,11,49,46,2
06/01/2024,49,19,22,40,45,2
03/01/2024,36,1,45,9,14,3
01/01/2024,4,41,16,13,6,10
30/12/2023,36,12,7,11,38,6
27/12/2023,16,41,26,28,13,8
25/12/2023,9,32,7,47,1,1
23/12/2023,39,28,26,5,29,10
20/12/2023,2,3,29,30,31,10
18/12/2023,30,3,15,41,16,9
16/12/2023,1,15,12,30,44,1
13/12/2023,4,19,22,18,7,10
11/12/2023,25,48,16,12,49,10
09/12/2023,40,34,36,28,15,10
06/12/2023,29,1,43,37,27,7
04/12/2023,41,44,38,8,10,2
02/12/2023,25,19,12,11,28,4
29/11/2023,21,30,6,31,10,1
27/11/2023,19,8,46,26,9,9
25/11/2023,1,9,19,13,11,8
22/11/2023,18,45,41,4,17,2
20/11/2023,30,15,34,46,41,2
18/11/2023,12,21,48,29,20,3
15/11/2023,22,7,16,30,2,1
13/11/2023,46,39,23,45,13,7
11/11/2023,17,22,35,25,19,6
08/11/2023,2,49,1,36,14,9
06/11/2023,18,10,40,34,31,10
04/11/2023,20,13,46,40,25,7
01/11/2023,32,46,27,1,16,1
30/10/2023,30,34,8,1,13,4
28/10/2023,31,38,22,32,34,2
25/10/2023,22,12,30,35,33,10
23/10/2023,10,3,40,26,22,4
21/10/2023,47,14,28,3,25,10
18/10/2023,22,13,46,49,3,1
16/10/2023,6,7,37,25,47,9
14/10/2023,13,14,27,4,20,1
11/10/2023,10,16,15,6,24,8
09/10/2023,9,16,32,30,23,6
07/10/2023,5,12,42,9,26,2
04/10/2023,26,21,40,27,31,1
02/10/2023,6,40,17,15,3,1
30/09/2023,33,48,25,23,41,1
27/09/2023,44,14,30,25,17,3
25/09/2023,4,13,27,46,21,4
23/09/2023,26,28,40,37,6,8
20/09/2023,48,19,37,16,29,1
18/09/2023,5,30,40,35,17,6
16/09/2023,42,43,32,40,15,4
13/09/2023,11,27,30,48,49,8
11/09/2023,31,44,40,13,28,6
09/09/2023,15,7,3,42,4,4
06/09/2023,47,30,15,33,4,10
04/09/2023,27,13,2,11,36,10
02/09/2023,10,33,47,1,7,10
30/08/2023,46,31,20,45,39,10
28/08/2023,9,35,23,37,28,7
26/08/2023,15,14,21,34,45,5
23/08/2023,46,29,25,8,34,7
21/08/2023,3,17,4,36,22,6
19/08/2023,27,8,32,11,4,10
16/08/2023,24,41,19,35,27,9
14/08/2023,44,13,3,27,49,9
12/08/2023,9,20,44,1,39,9
09/08/2023,6,31,45,14,3,9
07/08/2023,11,1,15,48,47,7
05/08/2023,40,42,2,7,10,2
02/08/2023,18,12,32,9,23,9
31/07/2023,1,47,22,33,4,1
29/07/2023,1,49,29,18,37,4
26/07/2023,17,49,18,28,11,7
24/07/2023,12,1,31,45,17,7
22/07/2023,37,33,42,36,31,3
19/07/2023,35,5,39,19,11,9
17/07/2023,47,6,20,9,41,9
15/07/2023,7,32,42,45,12,6
12/07/2023,31,18,34,27,26,8
10/07/2023,14,3,10,44,8,2
08/07/2023,6,19,48,32,10,5
05/07/2023,22,8,19,7,15,5
03/07/2023,42,23,2,8,35,7
01/07/2023,24,7,18,15,9,10
28/06/2023,49,34,36,12,42,10
26/06/2023,14,21,48,16,26,3
24/06/2023,30,40,3,21,2,4
21/06/2023,20,35,27,19,12,4
19/06/2023,39,42,38,29,49,3
17/06/2023,28,43,29,38,44,3
14/06/2023,14,9,16,12,33,2
12/06/2023,12,26,28,19,21,2
10/06/2023,28,16,11,32,49,10
07/06/2023,41,28,3,4,23,8
05/06/2023,3,46,25,10,13,5
03/06/2023,46,44,37,2,39,4
31/05/2023,43,9,40,28,13,3
29/05/2023,12,38,28,24,36,3
27/05/2023,25,24,31,34,9,9
24/05/2023,20,11,36,17,28,10
22/05/2023,43,33,42,22,37,4
20/05/2023,25,18,3,8,37,6
17/05/2023,8,2,11,47,40,7
15/05/2023,12,9,48,7,29,4
13/05/2023,43,6,25,34,9,5
10/05/2023,45,12,44,15,9,1
08/05/2023,43,47,16,39,4,5
06/05/2023,47,25,42,2,30,10
