annee_numero_de_tirage,jour_de_tirage,date_de_tirage,num�ro_de_tirage_dans_le_cycle,date_de_forclusion,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2
2020009,VENDREDI,31/01/2020,2,01/04/2020,20,23,13,30,18,2,4
2020008,MARDI   ,28/01/2020,1,29/03/2020,31,27,1,19,38,5,4
2020007,VENDREDI,24/01/2020,2,25/03/2020,9,6,4,3,24,8,5
2020006,MARDI   ,21/01/2020,1,22/03/2020,36,10,24,11,46,3,5
2020005,VENDREDI,17/01/2020,9,18/03/2020,20,8,29,44,19,8,3
2020004,MARDI   ,14/01/2020,8,15/03/2020,25,39,21,44,29,9,8
2020003,VENDREDI,10/01/2020,7,11/03/2020,32,44,17,6,46,2,6
2020002,MARDI   ,07/01/2020,6,08/03/2020,8,37,12,5,43,11,6
2020001,VENDREDI,03/01/2020,5,04/03/2020,15,5,20,47,36,12,8
2019105,MARDI   ,31/12/2019,4,01/03/2020,41,31,48,33,26,4,2
2019104,VENDREDI,27/12/2019,3,26/02/2020,22,26,35,7,1,5,10
2019103,MARDI   ,24/12/2019,2,23/02/2020,47,14,11,13,3,3,6
2019102,VENDREDI,20/12/2019,1,19/02/2020,8,24,32,34,30,3,4
2019101,MARDI   ,17/12/2019,4,16/02/2020,7,1,12,25,49,9,6
2019100,VENDREDI,13/12/2019,3,12/02/2020,16,9,23,18,32,2,10
2019099,MARDI   ,10/12/2019,2,09/02/2020,19,47,21,2,10,8,2
2019098,VENDREDI,06/12/2019,1,05/02/2020,46,1,39,3,27,1,10
2019097,MARDI   ,03/12/2019,4,02/02/2020,32,31,38,18,48,12,4
2019096,VENDREDI,29/11/2019,3,29/01/2020,50,42,12,3,7,6,8
2019095,MARDI   ,26/11/2019,2,26/01/2020,34,3,15,2,19,5,8
2019094,VENDREDI,22/11/2019,1,22/01/2020,3,48,32,34,21,3,11
2019093,MARDI   ,19/11/2019,12,19/01/2020,10,15,42,30,8,4,6
2019092,VENDREDI,15/11/2019,11,15/01/2020,20,13,34,3,32,4,11
2019091,MARDI   ,12/11/2019,10,12/01/2020,1,25,21,39,23,2,4
2019090,VENDREDI,08/11/2019,9,08/01/2020,20,8,45,23,17,2,8
2019089,MARDI   ,05/11/2019,8,05/01/2020,25,14,33,9,48,12,2
2019088,VENDREDI,01/11/2019,7,01/01/2020,39,2,44,20,48,5,7
2019087,MARDI   ,29/10/2019,6,29/12/2019,49,42,28,16,18,10,5
2019086,VENDREDI,25/10/2019,5,25/12/2019,37,50,34,39,40,4,10
2019085,MARDI   ,22/10/2019,4,22/12/2019,2,5,33,47,32,7,8
2019084,VENDREDI,18/10/2019,3,18/12/2019,18,22,42,41,8,11,12
2019083,MARDI   ,15/10/2019,2,15/12/2019,3,34,31,32,28,4,5
2019082,VENDREDI,11/10/2019,1,11/12/2019,42,45,19,2,14,5,6
2019081,MARDI   ,08/10/2019,23,08/12/2019,44,15,49,10,7,3,12
