annee_numero_de_tirage,jour_de_tirage,date_de_tirage,num�ro_de_tirage_dans_le_cycle,date_de_forclusion,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2
2019080,VENDREDI,04/10/2019,22,04/12/2019,44,41,35,9,6,9,6
2019079,MARDI   ,01/10/2019,21,01/12/2019,40,18,11,2,46,4,1
2019078,VENDREDI,27/09/2019,20,27/11/2019,46,43,41,37,24,8,2
2019077,MARDI   ,24/09/2019,19,24/11/2019,2,48,33,47,42,1,2
2019076,VENDREDI,20/09/2019,18,20/11/2019,25,50,21,38,8,4,8
2019075,MARDI   ,17/09/2019,17,17/11/2019,22,45,43,44,37,1,12
2019074,VENDREDI,13/09/2019,16,13/11/2019,12,1,42,47,27,6,7
2019073,MARDI   ,10/09/2019,15,10/11/2019,3,30,49,25,22,3,6
2019072,VENDREDI,06/09/2019,14,06/11/2019,13,22,40,10,48,5,2
2019071,MARDI   ,03/09/2019,13,03/11/2019,44,11,38,7,39,10,7
2019070,VENDREDI,30/08/2019,12,30/10/2019,45,49,27,46,25,6,4
2019069,MARDI   ,27/08/2019,11,27/10/2019,26,8,35,47,43,9,1
2019068,VENDREDI,23/08/2019,10,23/10/2019,4,17,42,45,35,8,2
2019067,MARDI   ,20/08/2019,9,20/10/2019,23,24,22,20,37,1,4
2019066,VENDREDI,16/08/2019,8,16/10/2019,9,42,10,27,37,1,5
2019065,MARDI   ,13/08/2019,7,13/10/2019,31,13,33,29,40,2,3
2019064,VENDREDI,09/08/2019,6,09/10/2019,35,41,14,2,42,11,10
2019063,MARDI   ,06/08/2019,5,06/10/2019,38,12,29,36,13,4,12
2019062,VENDREDI,02/08/2019,4,02/10/2019,33,44,13,22,50,5,2
2019061,MARDI   ,30/07/2019,3,29/09/2019,15,27,23,40,20,3,6
2019060,VENDREDI,26/07/2019,2,25/09/2019,27,2,42,5,37,10,3
2019059,MARDI   ,23/07/2019,1,22/09/2019,38,19,23,1,14,7,3
2019058,VENDREDI,19/07/2019,11,18/09/2019,26,17,13,14,28,7,2
2019057,MARDI   ,16/07/2019,10,15/09/2019,5,13,18,39,3,8,7
2019056,VENDREDI,12/07/2019,9,11/09/2019,2,31,39,45,47,8,4
2019055,MARDI   ,09/07/2019,8,08/09/2019,32,7,41,36,29,7,6
2019054,VENDREDI,05/07/2019,7,04/09/2019,20,2,42,34,9,9,6
2019053,MARDI   ,02/07/2019,6,01/09/2019,19,44,11,29,45,12,8
2019052,VENDREDI,28/06/2019,5,28/08/2019,1,33,3,49,16,2,11
2019051,MARDI   ,25/06/2019,4,25/08/2019,27,34,6,26,46,1,9
2019050,VENDREDI,21/06/2019,3,21/08/2019,9,8,39,25,5,3,7
2019049,MARDI   ,18/06/2019,2,18/08/2019,44,40,12,37,24,3,7
2019048,VENDREDI,14/06/2019,1,14/08/2019,30,1,39,13,31,2,7
2019047,MARDI   ,11/06/2019,4,11/08/2019,27,46,42,25,39,11,12
2019046,VENDREDI,07/06/2019,3,07/08/2019,34,16,4,1,20,2,5
2019045,MARDI   ,04/06/2019,2,04/08/2019,31,32,9,39,41,8,2
2019044,VENDREDI,31/05/2019,1,31/07/2019,1,26,23,35,24,11,1
2019043,MARDI   ,28/05/2019,6,28/07/2019,28,7,29,19,20,1,5
2019042,VENDREDI,24/05/2019,5,24/07/2019,5,30,49,23,16,7,6
2019041,MARDI   ,21/05/2019,4,21/07/2019,47,32,34,33,39,12,8
2019040,VENDREDI,17/05/2019,3,17/07/2019,42,16,28,43,45,6,7
2019039,MARDI   ,14/05/2019,2,14/07/2019,14,25,50,10,17,2,10
2019038,VENDREDI,10/05/2019,1,10/07/2019,1,45,27,4,48,7,1
2019037,MARDI   ,07/05/2019,2,07/07/2019,32,20,47,7,26,2,11
2019036,VENDREDI,03/05/2019,1,03/07/2019,2,20,27,43,9,5,6
2019035,MARDI   ,30/04/2019,2,30/06/2019,20,26,12,48,5,2,11
2019034,VENDREDI,26/04/2019,1,26/06/2019,33,35,50,47,14,11,9
2019033,MARDI   ,23/04/2019,4,23/06/2019,23,44,18,27,42,7,2
2019032,VENDREDI,19/04/2019,3,19/06/2019,32,49,8,7,41,11,5
2019031,MARDI   ,16/04/2019,2,16/06/2019,1,49,15,8,44,2,11
2019030,VENDREDI,12/04/2019,1,12/06/2019,46,28,1,35,36,6,9
2019029,MARDI   ,09/04/2019,7,09/06/2019,38,41,18,29,21,1,11
2019028,VENDREDI,05/04/2019,6,05/06/2019,7,45,10,1,29,5,3
2019027,MARDI   ,02/04/2019,5,02/06/2019,9,26,16,2,36,6,7
2019026,VENDREDI,29/03/2019,4,29/05/2019,13,23,26,47,32,6,10
2019025,MARDI   ,26/03/2019,3,26/05/2019,47,43,19,23,12,2,6
2019024,VENDREDI,22/03/2019,2,22/05/2019,17,43,26,4,30,11,6
2019023,MARDI   ,19/03/2019,1,19/05/2019,9,6,1,47,34,12,7
2019022,VENDREDI,15/03/2019,7,15/05/2019,46,24,42,15,3,12,9
2019021,MARDI   ,12/03/2019,6,12/05/2019,5,13,7,19,31,9,2
2019020,VENDREDI,08/03/2019,5,08/05/2019,40,17,24,19,18,8,4
2019019,MARDI   ,05/03/2019,4,05/05/2019,16,10,46,39,6,8,11
2019018,VENDREDI,01/03/2019,3,01/05/2019,9,19,26,31,6,12,11
