annee_numero_de_tirage,jour_de_tirage,date_de_tirage,date_de_forclusion,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2
2013073,MARDI   ,10/09/2013,10/11/2013,7,28,30,14,11,2,10
2013072,VENDREDI,06/09/2013,06/11/2013,25,11,32,23,37,7,4
2013071,MARDI   ,03/09/2013,03/11/2013,5,18,16,42,9,7,9
2013070,VENDREDI,30/08/2013,30/10/2013,45,25,17,36,2,5,9
2013069,MARDI   ,27/08/2013,27/10/2013,7,40,38,43,30,6,2
2013068,VENDREDI,23/08/2013,23/10/2013,30,37,26,6,1,8,5
2013067,MARDI   ,20/08/2013,20/10/2013,42,11,50,49,5,8,11
2013066,VENDREDI,16/08/2013,16/10/2013,39,20,24,37,27,5,10
2013065,MARDI   ,13/08/2013,13/10/2013,5,20,47,17,50,1,4
2013064,VENDREDI,09/08/2013,09/10/2013,24,4,23,7,9,9,8
2013063,MARDI   ,06/08/2013,06/10/2013,17,47,16,49,31,3,11
2013062,VENDREDI,02/08/2013,02/10/2013,42,36,48,37,21,7,4
2013061,MARDI   ,30/07/2013,29/09/2013,3,14,4,11,43,1,6
2013060,VENDREDI,26/07/2013,25/09/2013,23,38,29,12,49,4,3
2013059,MARDI   ,23/07/2013,22/09/2013,19,14,44,16,15,4,5
2013058,VENDREDI,19/07/2013,18/09/2013,24,35,13,26,16,5,2
2013057,MARDI   ,16/07/2013,15/09/2013,50,34,47,19,23,4,6
2013056,VENDREDI,12/07/2013,11/09/2013,26,42,33,18,32,3,2
2013055,MARDI   ,09/07/2013,08/09/2013,18,16,38,49,31,10,4
2013054,VENDREDI,05/07/2013,04/09/2013,28,4,33,12,15,1,10
2013053,MARDI   ,02/07/2013,01/09/2013,14,13,11,28,30,4,5
2013052,VENDREDI,28/06/2013,28/08/2013,15,1,47,28,35,7,1
2013051,MARDI   ,25/06/2013,25/08/2013,4,13,35,27,5,2,1
2013050,VENDREDI,21/06/2013,21/08/2013,30,11,36,45,10,1,2
2013049,MARDI   ,18/06/2013,18/08/2013,24,33,17,41,44,11,1
2013048,VENDREDI,14/06/2013,14/08/2013,41,25,48,10,47,6,10
2013047,MARDI   ,11/06/2013,11/08/2013,7,9,25,5,41,5,1
2013046,VENDREDI,07/06/2013,07/08/2013,14,26,45,50,7,2,7
2013045,MARDI   ,04/06/2013,04/08/2013,34,33,40,31,37,6,1
2013044,VENDREDI,31/05/2013,31/07/2013,29,43,28,34,27,10,5
2013043,MARDI   ,28/05/2013,28/07/2013,34,38,13,8,26,3,11
2013042,VENDREDI,24/05/2013,24/07/2013,22,17,40,7,27,2,3
2013041,MARDI   ,21/05/2013,21/07/2013,29,19,8,28,7,9,5
2013040,VENDREDI,17/05/2013,17/07/2013,25,24,50,6,20,9,10
2013039,MARDI   ,14/05/2013,14/07/2013,24,7,8,36,27,11,5
2013038,VENDREDI,10/05/2013,10/07/2013,48,35,45,1,32,4,11
2013037,MARDI   ,07/05/2013,07/07/2013,43,27,13,28,42,4,6
2013036,VENDREDI,03/05/2013,03/07/2013,5,49,34,3,40,2,3
2013035,MARDI   ,30/04/2013,30/06/2013,13,50,40,43,36,9,5
2013034,VENDREDI,26/04/2013,26/06/2013,40,38,16,24,11,2,5
2013033,MARDI   ,23/04/2013,23/06/2013,50,4,1,7,10,4,11
2013032,VENDREDI,19/04/2013,19/06/2013,1,46,8,42,48,4,7
2013031,MARDI   ,16/04/2013,16/06/2013,33,50,22,1,11,4,6
2013030,VENDREDI,12/04/2013,12/06/2013,28,45,15,5,10,3,9
2013029,MARDI   ,09/04/2013,09/06/2013,15,44,48,38,35,10,5
2013028,VENDREDI,05/04/2013,05/06/2013,32,1,17,39,11,7,2
2013027,MARDI   ,02/04/2013,02/06/2013,17,12,41,29,25,1,4
2013026,VENDREDI,29/03/2013,29/05/2013,44,30,46,43,13,9,5
2013025,MARDI   ,26/03/2013,26/05/2013,44,30,26,42,4,6,11
2013024,VENDREDI,22/03/2013,22/05/2013,27,32,12,34,49,9,8
2013023,MARDI   ,19/03/2013,19/05/2013,44,32,19,37,35,9,1
2013022,VENDREDI,15/03/2013,15/05/2013,24,14,39,4,21,10,3
2013021,MARDI   ,12/03/2013,12/05/2013,50,4,10,2,22,5,8
2013020,VENDREDI,08/03/2013,08/05/2013,20,42,23,28,3,8,11
2013019,MARDI   ,05/03/2013,05/05/2013,33,31,19,8,39,7,2
2013018,VENDREDI,01/03/2013,01/05/2013,1,11,36,29,42,4,5
2013017,MARDI   ,26/02/2013,28/04/2013,12,13,17,3,30,6,2
2013016,VENDREDI,22/02/2013,24/04/2013,15,37,36,16,28,2,11
2013015,MARDI   ,19/02/2013,21/04/2013,28,30,44,12,15,9,8
2013014,VENDREDI,15/02/2013,17/04/2013,2,4,42,28,22,4,9
2013013,MARDI   ,12/02/2013,14/04/2013,28,25,5,11,16,7,9
2013012,VENDREDI,08/02/2013,10/04/2013,14,44,11,34,9,11,10
2013011,MARDI   ,05/02/2013,07/04/2013,25,6,45,40,31,6,7
2013010,VENDREDI,01/02/2013,03/04/2013,37,5,34,38,21,1,6
2013009,MARDI   ,29/01/2013,31/03/2013,9,16,36,26,39,6,2
2013008,VENDREDI,25/01/2013,27/03/2013,3,10,37,18,31,2,4
2013007,MARDI   ,22/01/2013,24/03/2013,45,10,48,1,44,4,1
2013006,VENDREDI,18/01/2013,20/03/2013,39,26,27,30,4,10,3
2013005,MARDI   ,15/01/2013,17/03/2013,47,42,22,40,38,11,1
2013004,VENDREDI,11/01/2013,13/03/2013,37,22,29,4,41,7,4
2013003,MARDI   ,08/01/2013,10/03/2013,22,26,47,2,20,9,5
2013002,VENDREDI,04/01/2013,06/03/2013,4,10,27,22,41,10,8
2013001,MARDI   ,01/01/2013,03/03/2013,36,49,2,7,8,11,1
2012104,VENDREDI,28/12/2012,27/02/2013,26,49,27,24,17,3,5
2012103,MARDI   ,25/12/2012,24/02/2013,14,20,32,23,18,3,10
2012102,VENDREDI,21/12/2012,20/02/2013,40,5,3,42,22,3,10
2012101,MARDI   ,18/12/2012,17/02/2013,35,14,44,18,20,5,2
2012100,VENDREDI,14/12/2012,13/02/2013,40,29,11,43,10,11,3
2012099,MARDI   ,11/12/2012,10/02/2013,50,4,9,1,43,6,8
2012098,VENDREDI,07/12/2012,06/02/2013,10,18,31,42,16,2,5
2012097,MARDI   ,04/12/2012,03/02/2013,29,5,28,44,10,2,4
2012096,VENDREDI,30/11/2012,30/01/2013,18,23,40,24,10,3,4
2012095,MARDI   ,27/11/2012,27/01/2013,49,44,6,10,23,7,1
2012094,VENDREDI,23/11/2012,23/01/2013,11,20,40,9,1,5,1
2012093,MARDI   ,20/11/2012,20/01/2013,42,28,45,30,49,10,5
2012092,VENDREDI,16/11/2012,16/01/2013,15,19,41,23,10,2,9
2012091,MARDI   ,13/11/2012,13/01/2013,29,11,21,24,16,6,2
2012090,VENDREDI,09/11/2012,09/01/2013,47,28,14,21,22,5,4
2012089,MARDI   ,06/11/2012,06/01/2013,35,25,20,41,7,1,9
2012088,VENDREDI,02/11/2012,02/01/2013,6,10,3,44,11,3,4
2012087,MARDI   ,30/10/2012,30/12/2012,23,44,25,24,31,2,3
2012086,VENDREDI,26/10/2012,26/12/2012,9,5,6,38,27,5,11
2012085,MARDI   ,23/10/2012,23/12/2012,1,35,38,50,28,2,10
2012084,VENDREDI,19/10/2012,19/12/2012,16,40,44,37,29,8,10
2012083,MARDI   ,16/10/2012,16/12/2012,41,10,40,49,32,2,8
2012082,VENDREDI,12/10/2012,12/12/2012,35,7,17,43,6,2,8
2012081,MARDI   ,09/10/2012,09/12/2012,23,8,10,25,2,8,9
2012080,VENDREDI,05/10/2012,05/12/2012,19,16,18,21,9,3,2
2012079,MARDI   ,02/10/2012,02/12/2012,16,42,21,36,4,8,7
2012078,VENDREDI,28/09/2012,28/11/2012,20,26,30,33,23,6,9
2012077,MARDI   ,25/09/2012,25/11/2012,48,25,27,49,7,1,4
2012076,VENDREDI,21/09/2012,21/11/2012,41,4,34,43,19,7,11
2012075,MARDI   ,18/09/2012,18/11/2012,38,7,39,44,6,7,9
2012074,VENDREDI,14/09/2012,14/11/2012,27,10,44,23,3,9,7
2012073,MARDI   ,11/09/2012,11/11/2012,15,6,37,22,44,2,4
2012072,VENDREDI,07/09/2012,07/11/2012,15,35,13,30,42,4,6
2012071,MARDI   ,04/09/2012,04/11/2012,18,39,17,44,11,10,5
2012070,VENDREDI,31/08/2012,31/10/2012,31,28,16,48,33,11,7
2012069,MARDI   ,28/08/2012,28/10/2012,1,26,25,44,18,5,4
2012068,VENDREDI,24/08/2012,24/10/2012,6,5,19,37,12,7,3
2012067,MARDI   ,21/08/2012,21/10/2012,17,5,38,4,48,4,3
2012066,VENDREDI,17/08/2012,17/10/2012,19,25,33,44,28,8,2
2012065,MARDI   ,14/08/2012,14/10/2012,45,16,42,1,38,9,10
2012064,VENDREDI,10/08/2012,10/10/2012,50,21,17,48,11,9,10
2012063,MARDI   ,07/08/2012,07/10/2012,20,50,34,46,27,3,2
2012062,VENDREDI,03/08/2012,03/10/2012,34,35,42,24,46,5,1
2012061,MARDI   ,31/07/2012,30/09/2012,35,39,4,36,29,9,8
2012060,VENDREDI,27/07/2012,26/09/2012,15,48,14,23,21,2,10
2012059,MARDI   ,24/07/2012,23/09/2012,18,25,4,16,44,11,1
2012058,VENDREDI,20/07/2012,19/09/2012,19,23,10,45,49,9,10
2012057,MARDI   ,17/07/2012,16/09/2012,24,2,43,7,46,10,8
2012056,VENDREDI,13/07/2012,12/09/2012,18,46,35,25,8,9,4
2012055,MARDI   ,10/07/2012,09/09/2012,37,1,24,16,3,8,1
2012054,VENDREDI,06/07/2012,05/09/2012,40,42,38,31,32,3,1
2012053,MARDI   ,03/07/2012,02/09/2012,22,7,2,40,27,6,3
2012052,VENDREDI,29/06/2012,29/08/2012,14,17,28,39,29,11,1
2012051,MARDI   ,26/06/2012,26/08/2012,11,22,35,20,1,10,8
2012050,VENDREDI,22/06/2012,22/08/2012,18,14,19,43,49,7,3
2012049,MARDI   ,19/06/2012,19/08/2012,17,20,50,7,35,5,11
2012048,VENDREDI,15/06/2012,15/08/2012,48,38,27,22,10,3,7
2012047,MARDI   ,12/06/2012,12/08/2012,30,26,48,15,8,9,10
2012046,VENDREDI,08/06/2012,08/08/2012,11,22,5,34,40,9,11
2012045,MARDI   ,05/06/2012,05/08/2012,13,49,37,47,34,8,9
2012044,VENDREDI,01/06/2012,01/08/2012,26,2,36,14,4,9,10
2012043,MARDI   ,29/05/2012,29/07/2012,28,17,25,15,8,3,11
2012042,VENDREDI,25/05/2012,25/07/2012,35,12,22,49,46,2,8
2012041,MARDI   ,22/05/2012,22/07/2012,31,32,41,16,37,7,1
2012040,VENDREDI,18/05/2012,18/07/2012,29,50,43,47,13,9,11
2012039,MARDI   ,15/05/2012,15/07/2012,13,2,50,11,26,5,2
2012038,VENDREDI,11/05/2012,11/07/2012,1,17,13,44,38,2,11
2012037,MARDI   ,08/05/2012,08/07/2012,3,34,48,38,21,5,8
2012036,VENDREDI,04/05/2012,04/07/2012,26,41,40,39,3,1,2
2012035,MARDI   ,01/05/2012,01/07/2012,4,15,41,5,19,11,9
2012034,VENDREDI,27/04/2012,27/06/2012,36,43,30,27,20,1,6
2012033,MARDI   ,24/04/2012,24/06/2012,8,24,48,43,9,3,5
2012032,VENDREDI,20/04/2012,20/06/2012,32,41,29,3,6,11,10
2012031,MARDI   ,17/04/2012,17/06/2012,10,28,49,48,33,10,1
2012030,VENDREDI,13/04/2012,13/06/2012,8,39,43,13,26,3,5
2012029,MARDI   ,10/04/2012,10/06/2012,37,27,22,25,36,9,5
2012028,VENDREDI,06/04/2012,06/06/2012,11,35,45,20,30,2,3
2012027,MARDI   ,03/04/2012,03/06/2012,1,8,18,25,30,10,9
2012026,VENDREDI,30/03/2012,30/05/2012,46,17,23,4,36,10,6
2012025,MARDI   ,27/03/2012,27/05/2012,29,36,27,34,24,7,8
2012024,VENDREDI,23/03/2012,23/05/2012,50,15,9,23,31,8,11
2012023,MARDI   ,20/03/2012,20/05/2012,28,30,15,16,46,3,4
2012022,VENDREDI,16/03/2012,16/05/2012,12,4,50,3,23,4,7
2012021,MARDI   ,13/03/2012,13/05/2012,47,1,25,10,43,8,9
2012020,VENDREDI,09/03/2012,09/05/2012,39,36,32,47,3,6,9
2012019,MARDI   ,06/03/2012,06/05/2012,23,47,27,37,24,6,2
2012018,VENDREDI,02/03/2012,02/05/2012,44,5,11,6,30,6,2
2012017,MARDI   ,28/02/2012,29/04/2012,10,48,1,17,33,2,3
2012016,VENDREDI,24/02/2012,25/04/2012,34,3,12,26,7,10,8
2012015,MARDI   ,21/02/2012,22/04/2012,11,24,14,25,29,11,7
2012014,VENDREDI,17/02/2012,18/04/2012,11,4,47,28,38,11,10
2012013,MARDI   ,14/02/2012,15/04/2012,36,14,42,46,27,11,8
2012012,VENDREDI,10/02/2012,11/04/2012,3,14,31,41,8,7,11
2012011,MARDI   ,07/02/2012,08/04/2012,15,3,17,33,28,2,4
2012010,VENDREDI,03/02/2012,04/04/2012,16,20,19,25,28,1,10
2012009,MARDI   ,31/01/2012,01/04/2012,43,34,38,9,45,4,2
2012008,VENDREDI,27/01/2012,28/03/2012,10,19,44,13,39,6,2
2012007,MARDI   ,24/01/2012,25/03/2012,1,20,6,2,36,11,8
2012006,VENDREDI,20/01/2012,21/03/2012,10,28,27,2,22,8,6
2012005,MARDI   ,17/01/2012,18/03/2012,12,44,22,30,31,5,6
2012004,VENDREDI,13/01/2012,14/03/2012,39,13,21,14,27,8,6
2012003,MARDI   ,10/01/2012,11/03/2012,9,4,30,10,40,9,2
2012002,VENDREDI,06/01/2012,07/03/2012,1,6,10,31,12,7,2
2012001,MARDI   ,03/01/2012,04/03/2012,42,30,45,3,49,5,10
2011086,VENDREDI,30/12/2011,29/02/2012,36,44,43,16,50,8,7
2011085,MARDI   ,27/12/2011,26/02/2012,26,21,25,19,44,7,3
2011084,VENDREDI,23/12/2011,22/02/2012,22,7,24,28,21,1,11
2011083,MARDI   ,20/12/2011,19/02/2012,14,48,1,9,12,7,1
2011082,VENDREDI,16/12/2011,15/02/2012,10,2,23,31,5,5,2
2011081,MARDI   ,13/12/2011,12/02/2012,12,37,18,33,7,1,11
2011080,VENDREDI,09/12/2011,08/02/2012,21,12,47,44,29,2,1
2011079,MARDI   ,06/12/2011,05/02/2012,34,21,20,38,19,9,3
2011078,VENDREDI,02/12/2011,01/02/2012,27,40,7,43,30,9,8
2011077,MARDI   ,29/11/2011,29/01/2012,25,50,11,45,41,7,2
2011076,VENDREDI,25/11/2011,25/01/2012,34,14,26,19,28,5,8
2011075,MARDI   ,22/11/2011,22/01/2012,16,40,38,24,18,2,4
2011074,VENDREDI,18/11/2011,18/01/2012,39,44,24,4,12,2,4
2011073,MARDI   ,15/11/2011,15/01/2012,47,17,22,6,45,3,11
2011072,VENDREDI,11/11/2011,11/01/2012,30,18,1,4,23,3,7
2011071,MARDI   ,08/11/2011,08/01/2012,40,15,4,29,1,1,5
2011070,VENDREDI,04/11/2011,04/01/2012,41,50,11,43,14,9,2
2011069,MARDI   ,01/11/2011,01/01/2012,20,45,23,14,46,1,11
2011068,VENDREDI,28/10/2011,28/12/2011,39,16,20,17,50,4,8
2011067,MARDI   ,25/10/2011,25/12/2011,39,28,22,12,27,4,10
2011066,VENDREDI,21/10/2011,21/12/2011,37,19,2,33,46,5,8
2011065,MARDI   ,18/10/2011,18/12/2011,46,18,37,48,23,2,10
2011064,VENDREDI,14/10/2011,14/12/2011,47,23,12,29,32,3,5
2011063,MARDI   ,11/10/2011,11/12/2011,12,16,4,1,48,9,10
2011062,VENDREDI,07/10/2011,07/12/2011,42,34,18,38,26,8,5
2011061,MARDI   ,04/10/2011,04/12/2011,14,16,23,45,38,8,11
2011060,VENDREDI,30/09/2011,30/11/2011,28,15,44,31,5,1,6
2011059,MARDI   ,27/09/2011,27/11/2011,28,18,40,27,35,3,5
2011058,VENDREDI,23/09/2011,23/11/2011,6,33,48,14,34,6,2
2011057,MARDI   ,20/09/2011,20/11/2011,25,38,19,9,36,11,7
2011056,VENDREDI,16/09/2011,16/11/2011,39,2,42,17,8,3,10
2011055,MARDI   ,13/09/2011,13/11/2011,28,32,49,9,30,9,10
2011054,VENDREDI,09/09/2011,09/11/2011,21,5,34,31,28,2,1
2011053,MARDI   ,06/09/2011,06/11/2011,42,35,50,48,47,9,8
2011052,VENDREDI,02/09/2011,02/11/2011,37,12,26,38,44,4,7
2011051,MARDI   ,30/08/2011,30/10/2011,46,8,2,10,19,5,9
2011050,VENDREDI,26/08/2011,26/10/2011,25,45,22,33,12,5,7
2011049,MARDI   ,23/08/2011,23/10/2011,42,50,6,14,4,2,4
2011048,VENDREDI,19/08/2011,19/10/2011,16,6,31,28,14,11,2
2011047,MARDI   ,16/08/2011,16/10/2011,45,18,1,13,17,8,3
2011046,VENDREDI,12/08/2011,12/10/2011,7,20,37,10,27,7,4
2011045,MARDI   ,09/08/2011,09/10/2011,36,24,34,7,23,11,8
2011044,VENDREDI,05/08/2011,05/10/2011,34,32,18,14,13,1,10
2011043,MARDI   ,02/08/2011,02/10/2011,8,33,14,24,5,8,3
2011042,VENDREDI,29/07/2011,28/09/2011,37,38,19,27,12,5,10
2011041,MARDI   ,26/07/2011,25/09/2011,5,1,25,48,22,11,3
2011040,VENDREDI,22/07/2011,21/09/2011,4,50,15,49,23,2,6
2011039,MARDI   ,19/07/2011,18/09/2011,16,3,25,35,26,5,9
2011038,VENDREDI,15/07/2011,14/09/2011,26,6,33,39,34,3,4
2011037,MARDI   ,12/07/2011,11/09/2011,19,17,42,45,38,9,10
2011036,VENDREDI,08/07/2011,07/09/2011,12,13,40,49,23,7,10
2011035,MARDI   ,05/07/2011,04/09/2011,28,47,29,11,49,5,1
2011034,VENDREDI,01/07/2011,31/08/2011,11,23,31,8,46,9,8
2011033,MARDI   ,28/06/2011,28/08/2011,16,15,44,30,50,3,2
2011032,VENDREDI,24/06/2011,24/08/2011,41,20,5,30,16,11,6
2011031,MARDI   ,21/06/2011,21/08/2011,49,50,20,17,35,4,3
2011030,VENDREDI,17/06/2011,17/08/2011,11,22,21,16,44,8,3
2011029,MARDI   ,14/06/2011,14/08/2011,41,19,48,5,12,8,10
2011028,VENDREDI,10/06/2011,10/08/2011,37,20,3,48,19,8,11
2011027,MARDI   ,07/06/2011,07/08/2011,25,38,40,6,36,10,4
2011026,VENDREDI,03/06/2011,03/08/2011,49,40,50,39,4,2,5
2011025,MARDI   ,31/05/2011,31/07/2011,22,9,10,50,1,11,5
2011024,VENDREDI,27/05/2011,27/07/2011,28,9,49,25,17,9,8
2011023,MARDI   ,24/05/2011,24/07/2011,16,23,24,29,26,2,9
2011022,VENDREDI,20/05/2011,20/07/2011,42,25,10,20,14,8,11
2011021,MARDI   ,17/05/2011,17/07/2011,37,20,21,45,46,3,2
2011020,VENDREDI,13/05/2011,13/07/2011,17,47,11,36,9,2,1
2011019,MARDI   ,10/05/2011,10/07/2011,28,3,45,10,15,7,5
