annee_numero_de_tirage,jour_de_tirage,date_de_tirage,date_de_forclusion,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2
2014009,VENDREDI,31/01/2014,02/04/2014,10,15,31,8,16,8,9
2014008,MARDI   ,28/01/2014,30/03/2014,18,23,48,20,42,2,9
2014007,VENDREDI,24/01/2014,26/03/2014,19,41,35,34,5,1,5
2014006,MARDI   ,21/01/2014,23/03/2014,4,42,35,48,12,5,8
2014005,VENDREDI,17/01/2014,19/03/2014,26,19,33,42,32,10,4
2014004,MARDI   ,14/01/2014,16/03/2014,25,18,20,26,37,11,10
2014003,VENDREDI,10/01/2014,12/03/2014,1,27,2,11,29,10,1
2014002,MARDI   ,07/01/2014,09/03/2014,2,45,20,27,33,6,10
2014001,VENDREDI,03/01/2014,05/03/2014,3,44,27,38,31,3,8
2013105,MARDI   ,31/12/2013,02/03/2014,29,45,24,20,13,7,3
2013104,VENDREDI,27/12/2013,26/02/2014,1,22,6,13,28,10,5
2013103,MARDI   ,24/12/2013,23/02/2014,5,31,43,50,19,6,2
2013102,VENDREDI,20/12/2013,19/02/2014,13,22,17,43,12,10,3
2013101,MARDI   ,17/12/2013,16/02/2014,41,6,8,37,27,7,10
2013100,VENDREDI,13/12/2013,12/02/2014,24,22,23,1,31,6,11
2013099,MARDI   ,10/12/2013,09/02/2014,49,50,24,6,35,7,1
2013098,VENDREDI,06/12/2013,05/02/2014,18,31,36,2,1,7,10
2013097,MARDI   ,03/12/2013,02/02/2014,32,6,29,15,13,2,9
2013096,VENDREDI,29/11/2013,29/01/2014,10,23,7,2,43,4,7
2013095,MARDI   ,26/11/2013,26/01/2014,44,27,23,42,19,5,3
2013094,VENDREDI,22/11/2013,22/01/2014,40,26,13,25,50,8,9
2013093,MARDI   ,19/11/2013,19/01/2014,45,14,19,36,15,1,10
2013092,VENDREDI,15/11/2013,15/01/2014,13,42,3,15,29,4,1
2013091,MARDI   ,12/11/2013,12/01/2014,29,48,40,37,14,11,2
2013090,VENDREDI,08/11/2013,08/01/2014,35,20,42,43,28,8,10
2013089,MARDI   ,05/11/2013,05/01/2014,35,38,12,13,6,2,3
2013088,VENDREDI,01/11/2013,01/01/2014,19,33,29,30,7,3,8
2013087,MARDI   ,29/10/2013,29/12/2013,32,9,10,30,37,6,2
2013086,VENDREDI,25/10/2013,25/12/2013,2,31,38,3,10,6,10
2013085,MARDI   ,22/10/2013,22/12/2013,39,33,29,44,41,9,11
2013084,VENDREDI,18/10/2013,18/12/2013,25,36,47,46,5,2,6
2013083,MARDI   ,15/10/2013,15/12/2013,39,18,27,43,47,7,4
2013082,VENDREDI,11/10/2013,11/12/2013,6,17,23,12,43,5,9
2013081,MARDI   ,08/10/2013,08/12/2013,23,24,33,42,26,5,3
2013080,VENDREDI,04/10/2013,04/12/2013,50,35,6,24,20,5,10
2013079,MARDI   ,01/10/2013,01/12/2013,19,44,48,25,23,9,8
2013078,VENDREDI,27/09/2013,27/11/2013,41,15,11,38,43,6,2
2013077,MARDI   ,24/09/2013,24/11/2013,43,20,10,28,26,9,11
2013076,VENDREDI,20/09/2013,20/11/2013,5,11,38,35,45,2,3
2013075,MARDI   ,17/09/2013,17/11/2013,44,17,21,42,13,11,9
2013074,VENDREDI,13/09/2013,13/11/2013,14,27,6,4,33,10,5
